data,RRRP3.SA,ALPA4.SA,ABEV3.SA,AMER3.SA,ASAI3.SA,AZUL4.SA,B3SA3.SA,BPAN4.SA,BBSE3.SA,BRML3.SA,BBDC3.SA,BBDC4.SA,BRAP4.SA,BBAS3.SA,BRKM5.SA,BRFS3.SA,BPAC11.SA,CRFB3.SA,CCRO3.SA,CMIG4.SA,CIEL3.SA,COGN3.SA,CPLE6.SA,CSAN3.SA,CPFE3.SA,CMIN3.SA,CVCB3.SA,CYRE3.SA,DXCO3.SA,ECOR3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENBR3.SA,ENGI11.SA,ENEV3.SA,EGIE3.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,GOLL4.SA,NTCO3.SA,SOMA3.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,JHSF3.SA,KLBN11.SA,RENT3.SA,LWSA3.SA,LREN3.SA,MGLU3.SA,MRFG3.SA,CASH3.SA,BEEF3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,PETZ3.SA,POSI3.SA,QUAL3.SA,RADL3.SA,RDOR3.SA,RAIL3.SA,SBSP3.SA,SANB11.SA,CSNA3.SA,SLCE3.SA,SULA11.SA,SUZB3.SA,TAEE11.SA,VIVT3.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIIA3.SA,VBBR3.SA,WEGE3.SA,YDUQ3.SA
2019-01-02,20.799999,14.0,16.15,42.501793,14.28,36.330002,9.263333,2.0,28.32,13.46,22.395441,25.288004,27.525454,48.599998,48.310001,22.379999,6.225,18.950001,12.0,9.475988,9.63,9.25,3.085,8.925,28.940001,9.29,61.099998,15.87,11.018181,9.72,24.280773,32.259998,21.540001,14.18,38.0,4.1775,34.139999,14.982,21.26873,20.15,15.2,7.16,25.450001,36.759998,11.03,6.22,31.15,20.459999,25.659578,12.047619,37.0,12.04,2.0,16.309999,29.4,5.15,39.277706,5.812187,5.65,1.581666,4.995137,12.64,24.92,85.010002,26.65,24.059999,2.0712,15.5,2.4,13.64,11.34,66.589996,16.950001,34.369999,45.740002,9.21,20.195454,26.008862,38.599998,24.209999,41.91,12.15,9.531889,27.17,9.76,51.09,4.38,26.0,8.99,24.85
2019-01-03,21.0,14.024,16.33,42.936695,14.5,36.369999,9.666666,1.94,28.629999,13.55,22.852491,25.532181,26.471889,48.799999,48.599998,21.49,6.4825,19.76,12.39,9.277191,9.4,9.36,3.12,9.06,28.59,9.12,60.709999,16.129999,11.00909,9.92,30.988224,34.200001,21.9,14.77,38.200001,4.2,35.259998,15.4,21.334732,20.450001,15.1,7.19,25.629999,38.849998,11.5,6.078,31.6,19.85,25.3577,12.15238,37.610001,12.23,1.98,16.73,28.914286,5.075,38.781666,5.75,5.69,1.633333,5.113132,12.63,25.1,85.010002,27.200001,24.65,2.0758,15.45,2.43,13.72,11.314,67.25,17.440001,37.02,47.25,9.32,19.31818,25.314674,36.950001,24.280001,41.400002,11.92,9.751472,26.665001,9.55,49.0,4.31,26.6,9.195,24.83
2019-01-04,20.99,13.92,16.549999,41.513378,14.26,36.25,9.316666,1.97,28.35,13.29,22.351616,25.331829,28.260292,48.799999,48.060001,21.450001,6.7125,19.200001,12.25,9.184419,10.15,9.37,3.017,9.0075,28.65,9.15,59.950001,15.99,11.0,9.96,30.518402,33.959999,20.799999,14.88,38.5,4.2375,35.52,15.6,21.252232,20.85,15.5,7.37,25.0,39.040001,11.0,6.1,31.450001,19.844,25.074306,12.114285,36.98,12.55,1.94,17.0,28.619047,5.05,37.29353,5.575,5.68,1.641666,5.309791,12.45,24.59,85.010002,27.51,24.719999,2.0932,15.6,2.41,13.48,11.476,69.800003,17.200001,37.860001,47.200001,9.75,19.445454,24.176208,37.57,25.24,41.09,11.98,10.02096,26.485001,10.11,52.189999,4.27,26.700001,9.3,25.209999
2019-01-07,20.9,13.888,16.48,39.674931,14.64,35.299999,9.266666,1.95,27.93,13.21,22.539444,25.632357,28.481628,48.48,47.720001,21.59,6.85,18.85,11.9,8.91273,10.06,9.13,3.049,8.875,28.280001,9.05,60.700001,15.9,11.0,9.84,28.988983,32.5,21.23,14.45,38.0,4.245,35.299999,15.7,20.814976,21.15,15.54,7.42,23.9,39.849998,11.1,6.192,30.950001,20.865,25.326897,12.104761,37.049999,12.11,1.99,17.0,28.085714,5.05,36.436726,5.661562,5.58,1.591666,5.280293,12.56,24.24,85.010002,28.4,25.110001,2.0914,15.24,2.32,13.08,11.22,68.309998,16.9,37.0,47.990002,9.77,19.286364,24.564953,35.849998,24.82,41.200001,12.37,9.804704,25.674999,10.13,51.91,4.24,26.85,9.155,24.709999
2019-01-08,20.9,14.16,16.15,41.513378,15.0,34.720001,9.293333,1.95,27.52,13.23,22.789883,25.788879,28.278,47.93,47.689999,22.93,6.5525,18.66,12.24,8.866344,9.72,9.2,3.1,8.9725,28.299999,8.93,58.709999,15.79,10.872727,9.82,30.468422,33.59,21.360001,14.5,37.799999,4.2475,35.700001,15.74,20.509724,21.4,15.56,7.37,23.59,39.439999,11.25,6.1,30.9,19.691,25.567167,12.266666,37.52,12.3,1.98,17.07,28.104761,5.48,37.609196,5.615937,5.56,1.625,5.221295,13.05,24.07,85.010002,28.25,24.959999,2.1414,14.95,2.27,13.3,11.63,66.18,17.120001,37.139999,46.360001,9.8,18.868181,25.129559,36.200001,24.799999,40.299999,12.84,9.405462,25.25,9.77,52.41,4.04,25.950001,9.08,24.940001
2019-01-09,21.02,15.152,16.379999,44.261169,14.202,35.150002,9.336666,1.96,26.65,13.44,23.265715,26.233408,29.039396,47.799999,48.009998,23.549999,6.5625,19.110001,12.7,9.005502,10.13,9.58,3.151,9.705,28.6,8.95,59.07,15.85,11.018181,10.01,30.588375,33.93,21.280001,14.59,37.950001,4.27,36.650002,15.99,20.542723,21.08,16.0,7.55,23.48,38.869999,11.75,6.2,30.6,20.014999,25.499399,12.428571,38.09,12.2,1.91,17.450001,28.761904,5.5,38.420902,5.597187,5.59,1.666666,5.309791,13.59,24.370001,85.010002,28.82,25.48,2.167,15.5,2.28,13.64,12.222,67.300003,17.200001,37.599998,47.0,9.88,18.427273,25.370209,38.369999,24.799999,40.720001,12.99,9.768107,26.059999,10.09,53.689999,4.01,26.01,9.18,26.709999
2019-01-10,21.32,15.2,16.85,45.961243,14.16,35.91,9.423333,2.04,27.4,13.34,23.334585,26.152016,28.950863,48.5,47.509998,23.450001,6.4825,19.280001,12.91,9.164539,11.09,9.66,3.136,9.935,28.5,8.8,60.0,16.1,10.90909,10.2,30.988224,34.369999,20.99,14.73,38.77,4.3225,36.220001,16.198,21.045979,21.48,15.59,7.52,23.25,38.669998,11.6,6.338,30.9,18.858,24.975735,12.342857,37.830002,12.16,1.93,17.389999,28.619047,5.6,38.475018,5.651562,5.51,1.665,5.349123,13.46,24.17,85.010002,28.68,25.26,2.1792,14.8,2.25,13.68,12.704,68.139999,17.469999,37.830002,47.490002,9.98,18.581818,25.823744,38.860001,25.0,40.0,12.5,9.947765,26.735001,10.33,53.099998,4.42,25.75,9.25,27.1
2019-01-11,23.120001,15.192,17.290001,44.557693,14.2,37.200001,9.623333,2.05,27.75,13.23,23.240671,25.982969,28.853474,48.700001,48.18,22.950001,6.475,19.299999,13.4,9.184419,10.71,9.85,3.301,9.7375,28.299999,8.49,59.0,16.549999,10.927272,10.45,30.948238,34.299999,21.530001,14.79,38.5,4.3425,36.82,16.266001,21.13673,21.35,15.22,7.34,24.959999,38.330002,11.66,6.268,32.98,17.899,24.473633,12.190476,37.599998,12.48,1.95,17.16,28.076191,5.825,37.618214,5.55,5.55,1.633333,5.309791,13.34,23.690001,85.010002,28.5,24.99,2.2058,15.23,2.34,14.2,12.8,68.0,17.42,39.490002,47.389999,9.86,19.218182,26.767838,38.860001,25.49,40.450001,12.46,10.044249,26.594999,10.18,52.380001,4.51,25.799999,9.345,27.370001
2019-01-14,23.799999,15.2,17.540001,45.071671,14.698,37.470001,9.836666,2.03,28.0,13.3,23.265715,26.289757,28.959717,49.830002,48.279999,22.67,6.41,19.57,14.0,9.237431,10.9,10.2,3.42,9.8,28.110001,8.45,59.009998,16.85,11.581818,10.71,30.928247,34.09,21.620001,14.96,39.200001,4.3875,37.310001,16.642,21.11198,22.200001,15.2,7.34,25.16,41.0,11.46,6.422,33.009998,18.698,24.365818,12.371428,37.880001,12.69,1.94,17.82,27.971428,5.9,36.93277,5.59375,5.72,1.683333,5.349123,13.88,23.709999,85.010002,28.4,24.85,2.1898,15.0,2.33,14.8,12.754,68.0,18.0,41.599998,48.369999,9.77,20.15909,26.767838,39.0,25.52,40.099998,12.46,10.337026,26.785,9.87,52.599998,4.82,26.299999,9.45,28.6
2019-01-15,24.0,15.16,17.700001,45.714138,14.556,37.0,9.74,2.02,28.129999,13.28,23.353369,26.23967,28.694113,49.25,48.330002,22.43,6.4,19.700001,13.46,9.164539,10.5,10.09,3.342,9.9025,27.99,8.51,59.459999,16.5,11.236363,10.54,30.068573,32.860001,21.76,15.3,39.150002,4.4,37.16,16.712,21.037729,21.709999,14.9,7.2,24.370001,40.130001,11.6,6.34,33.009998,19.455,24.643053,12.295238,37.290001,12.62,1.9,18.34,27.457142,6.0,36.797485,5.530312,5.72,1.675,5.368789,13.8,24.15,85.010002,28.309999,24.83,2.2,14.7,2.32,14.65,12.944,68.300003,17.85,41.599998,47.0,9.62,21.227272,27.62863,42.299999,25.15,40.360001,12.48,10.653092,26.549999,9.74,52.349998,4.98,26.07,9.265,29.0
